Measure,Port Name,Year of Date,Value
Bus Passengers,Laredo,2008,928793
Bus Passengers,Hidalgo,2008,333840
Bus Passengers,El Paso,2008,748259
Bus Passengers,Eagle Pass,2008,25404
Bus Passengers,Douglas,2008,14805
Bus Passengers,Del Rio,2008,2435
Bus Passengers,Columbus,2008,28153
Bus Passengers,Calexico East,2008,41725
Bus Passengers,Calexico,2008,33800
Bus Passengers,Brownsville,2008,55051
Bus Passengers,Andrade,2008,0
Bus Passengers,Tornillo,2007,0
Bus Passengers,Tecate,2007,5066
Bus Passengers,Sasabe,2007,0
Bus Passengers,Santa Teresa,2007,4307
Bus Passengers,San Ysidro,2007,875450
Bus Passengers,San Luis,2007,1758
Bus Passengers,Roma,2007,29713
Bus Passengers,Rio Grande City,2007,0
Bus Passengers,Progreso,2007,8463
Bus Passengers,Presidio,2007,10815
Bus Passengers,Otay Mesa,2007,296637
Bus Passengers,Nogales,2007,221410
Bus Passengers,Naco,2007,1266
Bus Passengers,Lukeville,2007,63258
Bus Passengers,Laredo,2007,899461
Bus Passengers,Hidalgo,2007,310225
Bus Passengers,El Paso,2007,442191
Bus Passengers,Eagle Pass,2007,27070
Bus Passengers,Douglas,2007,21839
Bus Passengers,Del Rio,2007,20876
Bus Passengers,Columbus,2007,36123
Bus Passengers,Calexico East,2007,28064
Bus Passengers,Calexico,2007,25425
Bus Passengers,Brownsville,2007,59638
Bus Passengers,Andrade,2007,0
Bus Passengers,Tornillo,2006,0
Bus Passengers,Tecate,2006,6713
Bus Passengers,Sasabe,2006,0
Bus Passengers,Santa Teresa,2006,2926
Bus Passengers,San Ysidro,2006,1060444
Bus Passengers,San Luis,2006,1838
Bus Passengers,Roma,2006,35666
Bus Passengers,Rio Grande City,2006,307
Bus Passengers,Progreso,2006,13408
Bus Passengers,Presidio,2006,7825
Bus Passengers,Otay Mesa,2006,312862
Bus Passengers,Nogales,2006,217093
Bus Passengers,Naco,2006,4478
Bus Passengers,Lukeville,2006,133527
Bus Passengers,Laredo,2006,878164
Bus Passengers,Hidalgo,2006,95343
Bus Passengers,El Paso,2006,239749
Bus Passengers,Eagle Pass,2006,23334
Bus Passengers,Douglas,2006,21893
Bus Passengers,Del Rio,2006,2781
Bus Passengers,Columbus,2006,21688
Bus Passengers,Calexico East,2006,18508
Bus Passengers,Calexico,2006,27050
Bus Passengers,Brownsville,2006,61390
Bus Passengers,Andrade,2006,295
Bus Passengers,Tornillo,2005,0
Bus Passengers,Tecate,2005,7067
Bus Passengers,Sasabe,2005,0
Bus Passengers,Santa Teresa,2005,2649
Bus Passengers,San Ysidro,2005,995337
Bus Passengers,San Luis,2005,1256
Bus Passengers,Roma,2005,45899
Bus Passengers,Rio Grande City,2005,0
Bus Passengers,Progreso,2005,8484
Bus Passengers,Presidio,2005,9650
Bus Passengers,Otay Mesa,2005,251614
Bus Passengers,Nogales,2005,178306
Bus Passengers,Naco,2005,10050
Bus Passengers,Lukeville,2005,29133
Bus Passengers,Laredo,2005,826679
Bus Passengers,Hidalgo,2005,369443
Bus Passengers,El Paso,2005,276381
Bus Passengers,Eagle Pass,2005,21490
Bus Passengers,Douglas,2005,24116
Bus Passengers,Del Rio,2005,1130
Bus Passengers,Columbus,2005,18199
Bus Passengers,Calexico East,2005,4889
Bus Passengers,Calexico,2005,29956
Bus Passengers,Brownsville,2005,57582
Bus Passengers,Andrade,2005,469
Bus Passengers,Tornillo,2004,0
Bus Passengers,Tecate,2004,5910
Bus Passengers,Sasabe,2004,0
Bus Passengers,Santa Teresa,2004,2034
Bus Passengers,San Ysidro,2004,1032343
Bus Passengers,San Luis,2004,836
Bus Passengers,Roma,2004,37853
Bus Passengers,Rio Grande City,2004,0
Bus Passengers,Progreso,2004,15298
Bus Passengers,Presidio,2004,4070
Bus Passengers,Otay Mesa,2004,251461
Bus Passengers,Nogales,2004,150073
Bus Passengers,Naco,2004,12400
Bus Passengers,Lukeville,2004,5070
Bus Passengers,Laredo,2004,802635
Bus Passengers,Hidalgo,2004,650100
Bus Passengers,El Paso,2004,265096
Bus Passengers,Eagle Pass,2004,14311
Bus Passengers,Douglas,2004,40721
Bus Passengers,Del Rio,2004,207
Bus Passengers,Columbus,2004,16307
Bus Passengers,Calexico East,2004,8837
Bus Passengers,Calexico,2004,15526
Bus Passengers,Brownsville,2004,56106
Bus Passengers,Andrade,2004,1323
Bus Passengers,Tornillo,2003,0
Bus Passengers,Tecate,2003,6707
Bus Passengers,Sasabe,2003,0
Bus Passengers,Santa Teresa,2003,8041
Bus Passengers,San Ysidro,2003,1244973
